,date,air_temp_celsius_avg,air_temp_celsius_max,air_temp_celsius_min,drybulb_temp_celsius_avg,drybulb_temp_celsius_max,drybulb_temp_celsius_min,dew_point_celsius_avg,dew_point_celsius_min,solar_radiation_avg,vpd_kpa_avg,vpd_kpa_min,percent_humidity_avg,percent_humidity_max,percent_humidity_min,precipitation_mm,leaf_wetness_min,leaf_wetness_min2,leaf_wetness_min3,wind_speed_ms_avg,wind_speed_ms_max,wind_speed_max_ms_max,solar_panel_mv_last,battery_mv_last,5te_battery_voltage_mv_last,et0_mm_daily,contapre
0,2021-06-01 00:00:00,10.61,12.71,9.53,,,,10.1,9.5,0,0.03,0.0,97.27,100.0,85.11,0.0,60.0,60.0,0.0,0.0,0.3,0.5,0,6420,,,8
1,2021-06-01 01:00:00,8.84,9.35,8.44,,,,8.8,8.4,0,0.0,0.0,99.94,99.97,99.92,0.0,60.0,60.0,0.0,0.0,0.1,0.7,0,6411,,,8
2,2021-06-01 02:00:00,7.96,8.5,7.58,,,,7.8,7.5,0,0.0,0.0,99.91,99.93,99.9,0.0,60.0,60.0,0.0,0.0,0.2,0.6,0,6417,,,8
3,2021-06-01 03:00:00,7.35,8.25,6.68,,,,7.2,6.6,0,0.0,0.0,99.9,99.91,99.89,0.0,60.0,60.0,0.0,0.0,0.2,0.4,0,6411,,,8
4,2021-06-01 04:00:00,6.5,6.86,5.9,,,,6.4,5.8,0,0.0,0.0,99.88,99.89,99.88,0.0,60.0,60.0,0.0,0.0,0.0,0.5,0,6405,,,8
5,2021-06-01 05:00:00,5.84,6.09,5.57,,,,5.7,5.5,0,0.0,0.0,99.88,99.89,99.88,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0,6408,,,8
6,2021-06-01 06:00:00,5.36,5.98,4.81,,,,5.3,4.7,0,0.0,0.0,99.87,99.88,99.87,0.0,60.0,60.0,0.0,0.0,0.0,0.2,1706,6408,,,8
7,2021-06-01 07:00:00,6.49,8.62,5.07,,,,6.4,5.0,3,0.0,0.0,99.86,99.87,99.86,0.0,60.0,60.0,0.0,0.0,0.0,0.0,6647,6468,,,8
8,2021-06-01 08:00:00,11.36,12.76,9.16,,,,9.8,9.1,24,0.12,0.0,91.04,99.95,83.47,0.0,60.0,60.0,0.0,0.0,0.0,0.2,6710,6499,,,8
9,2021-06-01 09:00:00,14.02,14.87,12.91,,,,9.2,8.5,32,0.42,0.23,73.26,83.89,68.17,0.0,60.0,60.0,0.0,0.0,0.2,0.6,6724,6502,,,8
