,date,drybulb_temp_celsius_avg,drybulb_temp_celsius_max,drybulb_temp_celsius_min,dew_point_celsius_avg,dew_point_celsius_min,vpd_kpa_avg,vpd_kpa_min,percent_humidity_avg,percent_humidity_max,percent_humidity_min,precipitation_mm,leaf_wetness_min,solar_panel_mv_last,battery_mv_last,deltat_celsius_avg,deltat_celsius_max,deltat_celsius_min,contapre
0,2021-07-02 00:00:00,18.3,18.5,18.1,15.3,15.0,0.01,0.01,99.35,99.39,99.32,0.0,0,0,6331,0,0,0,0
1,2021-07-02 01:00:00,17.7,18.1,17.4,14.8,14.7,0.01,0.01,99.37,99.4,99.35,0.0,0,0,6337,0,0,0,0
2,2021-07-02 02:00:00,17.0,17.4,16.8,14.2,13.5,0.0,0.0,99.4,99.43,99.34,0.0,20,0,6334,0,0,0,0
3,2021-07-02 03:00:00,16.6,16.8,16.5,13.4,12.7,0.0,0.0,99.43,99.45,99.41,0.0,60,0,6328,0,0,0,0
4,2021-07-02 04:00:00,16.2,16.5,16.0,12.9,12.2,0.0,0.0,99.43,99.46,99.41,0.0,60,0,6323,0,0,0,0
5,2021-07-02 05:00:00,15.6,15.9,15.4,12.5,12.0,0.0,0.0,99.45,99.47,99.41,0.0,60,795,6323,0,0,0,0
6,2021-07-02 06:00:00,15.2,15.4,15.2,12.2,11.6,0.0,0.0,99.44,99.46,99.41,0.0,60,6810,6534,0,0,0,0
7,2021-07-02 07:00:00,15.2,15.6,15.0,13.8,12.7,0.0,0.0,99.38,99.42,99.31,0.0,50,6945,6656,0,0,0,0
8,2021-07-02 08:00:00,16.6,17.7,15.7,15.9,15.4,0.01,0.01,99.27,99.31,99.25,0.0,0,6997,6704,0,0,0,0
9,2021-07-02 09:00:00,19.1,20.4,17.9,17.5,16.7,0.07,0.01,96.51,99.23,92.68,0.0,0,7021,6724,0,1,0,0
10,2021-07-02 10:00:00,21.3,22.0,20.6,16.6,15.5,0.39,0.22,82.88,90.04,76.22,0.0,0,7060,6767,2,3,1,0
11,2021-07-02 11:00:00,24.2,25.4,23.2,16.4,15.7,0.63,0.5,74.75,80.15,72.21,0.0,0,8244,6770,3,3,2,0
12,2021-07-02 12:00:00,26.4,27.2,25.5,17.9,16.2,0.61,0.48,76.85,82.17,68.19,0.0,0,9140,6776,3,4,2,0
13,2021-07-02 13:00:00,27.8,28.3,27.4,17.8,15.9,0.73,0.53,73.6,79.55,65.13,0.0,0,9125,6773,3,4,2,0
14,2021-07-02 14:00:00,28.9,29.4,28.4,17.6,16.5,0.89,0.74,69.46,74.44,64.87,0.0,0,6906,6676,4,5,3,0
15,2021-07-02 15:00:00,29.6,29.7,29.4,18.0,16.2,0.95,0.75,68.58,75.3,58.85,0.0,0,6844,6610,4,5,3,0
16,2021-07-02 16:00:00,29.7,29.8,29.6,16.9,14.5,1.2,0.94,61.54,70.5,52.9,0.0,0,6844,6619,5,6,4,0
17,2021-07-02 17:00:00,28.8,29.5,28.2,18.2,13.7,0.74,0.32,74.11,88.22,53.79,0.0,0,6849,6602,3,6,1,0
18,2021-07-02 18:00:00,27.6,28.2,26.9,20.0,19.1,0.25,0.13,90.25,94.18,85.09,0.0,0,6834,6593,1,2,1,0
19,2021-07-02 19:00:00,26.1,26.8,25.2,18.9,18.2,0.11,0.04,94.9,98.27,90.98,0.0,0,6705,6548,1,1,0,0
20,2021-07-02 20:00:00,24.3,25.2,23.5,17.8,17.4,0.07,0.02,96.23,98.9,94.29,0.0,0,3949,6519,0,1,0,0
21,2021-07-02 21:00:00,22.6,23.4,22.0,17.5,17.1,0.07,0.02,96.37,98.96,94.11,0.0,0,0,6499,0,1,0,0
