date,atmos14_temperature,phytos31_moisture,atmos14_vaporpressure,atmos14_moisture,teros11_volumetricwatercontent,atmos14_atmosphericpressure,teros11_temperature
2022-05-09 18:00:00+00:00,23.03333333333333,0.20634333333333332,1.3469933333333335,0.47833333333333333,,94.12333000000001,
2022-05-09 19:00:00+00:00,,,,,,,
2022-05-09 20:00:00+00:00,,,,,,,
2022-05-09 21:00:00+00:00,,,,,,,
2022-05-09 22:00:00+00:00,,,,,,,
2022-05-09 23:00:00+00:00,,,,,,,
2022-05-10 00:00:00+00:00,,,,,,,
2022-05-10 01:00:00+00:00,,,,,,,
2022-05-10 02:00:00+00:00,,,,,,,
2022-05-10 03:00:00+00:00,,,,,,,
2022-05-10 04:00:00+00:00,,,,,,,
2022-05-10 05:00:00+00:00,,,,,,,
2022-05-10 06:00:00+00:00,20.08749875,0.17563499999999999,1.33875,0.56962375,,94.12999,
2022-05-10 07:00:00+00:00,,,,,,,
2022-05-10 08:00:00+00:00,,,,,,,
2022-05-10 09:00:00+00:00,,,,,,,
2022-05-10 10:00:00+00:00,,,,,,,
2022-05-10 11:00:00+00:00,,,,,,,
2022-05-10 12:00:00+00:00,,,,,,,
2022-05-10 13:00:00+00:00,,,,,,,
2022-05-10 14:00:00+00:00,,,,,,,
2022-05-10 15:00:00+00:00,,,,,,,
2022-05-10 16:00:00+00:00,,,,,,,
2022-05-10 17:00:00+00:00,,,,,,,
2022-05-10 18:00:00+00:00,,,,,,,
2022-05-10 19:00:00+00:00,,,,,,,
2022-05-10 20:00:00+00:00,,,,,,,
2022-05-10 21:00:00+00:00,,,,,,,
2022-05-10 22:00:00+00:00,,,,,,,
2022-05-10 23:00:00+00:00,,,,,,,
2022-05-11 00:00:00+00:00,,,,,,,
2022-05-11 01:00:00+00:00,,,,,,,
2022-05-11 02:00:00+00:00,,,,,,,
2022-05-11 03:00:00+00:00,,,,,,,
2022-05-11 04:00:00+00:00,,,,,,,
2022-05-11 05:00:00+00:00,,,,,,,
2022-05-11 06:00:00+00:00,,,,,,,
2022-05-11 07:00:00+00:00,,,,,,,
2022-05-11 08:00:00+00:00,,,,,,,
2022-05-11 09:00:00+00:00,,,,,,,
2022-05-11 10:00:00+00:00,,,,,,,
2022-05-11 11:00:00+00:00,,,,,,,
2022-05-11 12:00:00+00:00,,,,,,,
2022-05-11 13:00:00+00:00,,,,,,,
2022-05-11 14:00:00+00:00,,,,,,,
2022-05-11 15:00:00+00:00,,,,,,,
2022-05-11 16:00:00+00:00,,,,,,,
2022-05-11 17:00:00+00:00,,,,,,,
2022-05-11 18:00:00+00:00,,,,,,,
2022-05-11 19:00:00+00:00,,,,,,,
2022-05-11 20:00:00+00:00,,,,,,,
2022-05-11 21:00:00+00:00,,,,,,,
2022-05-11 22:00:00+00:00,,,,,,,
2022-05-11 23:00:00+00:00,,,,,,,
2022-05-12 00:00:00+00:00,,,,,,,
2022-05-12 01:00:00+00:00,,,,,,,
2022-05-12 02:00:00+00:00,,,,,,,
2022-05-12 03:00:00+00:00,,,,,,,
2022-05-12 04:00:00+00:00,,,,,,,
2022-05-12 05:00:00+00:00,,,,,,,
2022-05-12 06:00:00+00:00,,,,,,,
2022-05-12 07:00:00+00:00,,,,,,,
2022-05-12 08:00:00+00:00,,,,,,,
2022-05-12 09:00:00+00:00,,,,,,,
2022-05-12 10:00:00+00:00,,,,,,,
2022-05-12 11:00:00+00:00,,,,,,,
2022-05-12 12:00:00+00:00,,,,,,,
2022-05-12 13:00:00+00:00,,,,,,,
2022-05-12 14:00:00+00:00,,,,,,,
2022-05-12 15:00:00+00:00,,,,,,,
2022-05-12 16:00:00+00:00,,,,,,,
2022-05-12 17:00:00+00:00,,,,,,,
2022-05-12 18:00:00+00:00,,,,,,,
2022-05-12 19:00:00+00:00,,,,,,,
2022-05-12 20:00:00+00:00,,,,,,,
2022-05-12 21:00:00+00:00,,,,,,,
2022-05-12 22:00:00+00:00,,,,,,,
2022-05-12 23:00:00+00:00,,,,,,,
2022-05-13 00:00:00+00:00,,,,,,,
2022-05-13 01:00:00+00:00,,,,,,,
2022-05-13 02:00:00+00:00,,,,,,,
2022-05-13 03:00:00+00:00,,,,,,,
2022-05-13 04:00:00+00:00,,,,,,,
2022-05-13 05:00:00+00:00,,,,,,,
2022-05-13 06:00:00+00:00,,,,,,,
2022-05-13 07:00:00+00:00,,,,,,,
2022-05-13 08:00:00+00:00,,,,,,,
2022-05-13 09:00:00+00:00,,,,,,,
2022-05-13 10:00:00+00:00,,,,,,,
2022-05-13 11:00:00+00:00,,,,,,,
2022-05-13 12:00:00+00:00,,,,,,,
2022-05-13 13:00:00+00:00,,,,,,,
2022-05-13 14:00:00+00:00,,,,,,,
2022-05-13 15:00:00+00:00,,,,,,,
2022-05-13 16:00:00+00:00,,,,,,,
2022-05-13 17:00:00+00:00,,,,,,,
2022-05-13 18:00:00+00:00,,,,,,,
2022-05-13 19:00:00+00:00,,,,,,,
2022-05-13 20:00:00+00:00,,,,,,,
2022-05-13 21:00:00+00:00,,,,,,,
2022-05-13 22:00:00+00:00,18.12857,0.16333,1.935427142857143,0.93157,2525.6524625,96.65166666666669,19.92499375
2022-05-13 23:00:00+00:00,17.783327500000002,0.1623475,1.8898308333333336,0.9286633333333333,2525.403335833333,96.62999083333334,19.641665
2022-05-14 00:00:00+00:00,17.34166,0.16256916666666665,1.846915,0.9343325,2525.390824166667,96.61333166666667,19.29166
2022-05-14 01:00:00+00:00,16.45833083333333,0.16399583333333334,1.7323316666666668,0.9250816666666667,2525.3924925,96.60332749999999,18.75833
2022-05-14 02:00:00+00:00,15.983330833333333,0.16281500000000002,1.6864975,0.9296641666666666,2525.5324666666666,96.58082916666666,18.20833083333333
2022-05-14 03:00:00+00:00,16.799995833333334,0.16369,1.7537466666666666,0.9171641666666667,2525.2825075,96.570825,18.033331666666665
2022-05-14 04:00:00+00:00,17.7416625,0.16369,1.8537458333333332,0.9140808333333333,2524.1250141666665,96.58499583333332,18.224995
2022-05-14 05:00:00+00:00,18.541661666666666,0.1635875,2.14058,0.938665,2522.5100058333333,96.60833166666667,18.624996666666664
2022-05-14 06:00:00+00:00,20.674995,0.16346666666666668,2.317410833333333,0.9516641666666666,2538.60542,96.61,19.599997272727276
2022-05-14 07:00:00+00:00,22.233326666666667,0.1649525,2.2156625,0.82675,2560.849050909091,96.5991575,20.338457692307692
2022-05-14 08:00:00+00:00,22.499995,0.16360999999999998,2.567995,0.7795000000000001,2594.45996,96.59499,20.6
