date,air_temp_celsius_avg,air_temp_celsius_max,air_temp_celsius_min,percent_humidity_avg,percent_humidity_max,percent_humidity_min,precipitation_mm,leaf_wetness_min,disease_severity,spraying_interval,pessl,negfry,caroline
2021-07-01 10:00:00,22.24,22.31,22.1,90.6,93.51,88.14,0.0,0,,,0,0.27059999999999995,15.175714285714292
2021-07-01 11:00:00,23.2,23.89,22.34,82.87,88.53,79.1,0.0,0,0.0,14.0,0,0.27059999999999995,15.175714285714292
2021-07-01 12:00:00,24.33,24.7,23.95,73.81,77.44,71.28,0.0,0,0.0,14.0,0,0.27059999999999995,15.175714285714292
2021-07-01 13:00:00,25.49,26.54,24.75,68.4,72.2,65.01,0.0,0,0.0,14.0,0,0.27059999999999995,15.175714285714292
2021-07-01 14:00:00,26.23,26.7,25.94,65.25,68.96,61.89,0.0,0,0.0,14.0,0,0.27059999999999995,15.175714285714292
2021-07-01 15:00:00,28.19,31.32,26.64,61.94,66.7,51.54,0.0,0,0.0,14.0,0,0.27059999999999995,15.175714285714292
2021-07-01 16:00:00,30.17,32.08,27.53,46.82,54.31,41.24,0.0,0,0.0,14.0,0,0.27059999999999995,15.175714285714292
2021-07-01 17:00:00,28.7,29.02,27.81,51.17,61.41,46.71,0.0,0,0.0,14.0,0,0.27059999999999995,15.175714285714292
2021-07-01 18:00:00,28.68,29.34,27.88,48.94,55.23,42.69,0.0,0,0.0,14.0,0,0.27059999999999995,15.175714285714292
2021-07-01 19:00:00,27.91,28.95,26.6,49.76,55.51,44.19,0.0,0,0.0,14.0,0,0.27059999999999995,15.175714285714292
2021-07-01 20:00:00,25.53,26.46,24.87,63.54,69.71,55.99,0.0,0,0.0,14.0,0,0.27059999999999995,15.175714285714292
2021-07-01 21:00:00,23.8,24.72,22.56,68.49,75.18,63.97,0.0,0,0.0,14.0,0,0.27059999999999995,15.175714285714292
2021-07-01 22:00:00,20.13,21.92,18.98,85.81,91.41,76.99,0.0,0,0.0,14.0,0,0.27059999999999995,15.175714285714292
2021-07-01 23:00:00,18.42,18.83,18.22,94.61,97.22,92.27,0.0,0,0.0,14.0,0,0.27059999999999995,15.175714285714292
2021-07-02 00:00:00,18.15,18.26,18.0,97.52,97.96,97.17,0.0,0,0.0,14.0,0,9.2286,15.525416666666668
2021-07-02 01:00:00,17.65,17.96,17.25,97.81,98.19,97.29,0.0,0,0.0,14.0,0,9.2286,15.525416666666668
2021-07-02 02:00:00,16.73,17.18,16.35,97.78,98.3,97.25,0.0,0,0.0,14.0,0,9.2286,15.525416666666668
2021-07-02 03:00:00,16.46,16.73,16.18,97.96,98.98,97.04,0.0,0,0.0,14.0,0,9.2286,15.525416666666668
2021-07-02 04:00:00,16.57,16.72,16.46,96.9,97.5,96.43,0.0,0,0.0,14.0,0,9.2286,15.525416666666668
2021-07-02 05:00:00,16.75,17.07,16.5,96.17,96.74,94.93,0.0,0,0.0,14.0,0,9.2286,15.525416666666668
2021-07-02 06:00:00,17.53,17.83,17.17,92.79,95.14,91.09,0.0,0,0.0,14.0,0,9.2286,15.525416666666668
2021-07-02 07:00:00,18.97,19.94,17.94,90.11,92.06,88.83,0.0,0,1.0,14.0,1,9.2286,15.525416666666668
2021-07-02 08:00:00,20.37,21.08,19.8,85.4,91.51,79.44,0.0,0,1.0,14.0,1,9.2286,15.525416666666668
2021-07-02 09:00:00,21.05,21.94,20.75,89.03,92.49,85.43,0.0,30,1.0,14.0,1,9.2286,15.525416666666668
2021-07-02 10:00:00,23.83,24.5,22.39,77.2,85.95,67.18,0.0,0,1.0,14.0,0,9.2286,15.525416666666668
2021-07-02 11:00:00,25.39,26.23,24.69,64.85,72.74,56.66,0.0,0,1.0,14.0,0,9.2286,15.525416666666668
2021-07-02 12:00:00,27.66,28.79,26.41,49.36,61.57,39.22,0.0,0,1.0,14.0,0,9.2286,15.525416666666668
2021-07-02 13:00:00,29.63,30.29,28.16,46.73,55.58,38.57,0.0,0,1.0,14.0,0,9.2286,15.525416666666668
2021-07-02 14:00:00,30.3,30.93,29.54,46.15,52.69,39.41,0.0,0,1.0,14.0,0,9.2286,15.525416666666668
2021-07-02 15:00:00,31.6,32.23,30.71,39.22,48.57,30.19,0.0,0,1.0,14.0,0,9.2286,15.525416666666668
2021-07-02 16:00:00,32.8,34.25,31.79,41.02,48.29,32.3,0.0,0,1.0,14.0,0,9.2286,15.525416666666668
2021-07-02 17:00:00,31.34,32.55,30.44,41.87,49.13,35.0,0.0,0,1.0,14.0,0,9.2286,15.525416666666668
2021-07-02 18:00:00,29.91,30.4,28.94,44.93,49.5,41.9,0.0,0,1.0,14.0,0,9.2286,15.525416666666668
2021-07-02 19:00:00,28.22,28.93,27.48,48.97,55.52,42.31,0.0,0,1.0,14.0,0,9.2286,15.525416666666668
2021-07-02 20:00:00,26.3,27.3,25.43,53.64,56.49,51.03,0.0,0,1.0,14.0,0,9.2286,15.525416666666668
2021-07-02 21:00:00,24.24,25.33,22.43,66.34,76.45,56.73,0.0,0,1.0,14.0,0,9.2286,15.525416666666668
2021-07-02 22:00:00,20.16,22.0,18.93,88.62,94.09,79.21,0.0,0,0.0,14.0,0,9.2286,15.525416666666668
2021-07-02 23:00:00,18.2,18.79,17.61,94.8,95.73,93.53,0.0,0,0.0,14.0,0,9.2286,15.525416666666668
2021-07-03 00:00:00,17.32,17.56,17.07,98.18,98.77,96.9,0.0,0,0.0,14.0,0,17.8544,14.832083333333335
2021-07-03 01:00:00,16.52,17.0,16.2,99.05,100.0,98.36,0.0,5,0.0,14.0,0,17.8544,14.832083333333335
2021-07-03 02:00:00,16.55,16.86,16.25,100.0,100.0,100.0,0.0,60,0.0,14.0,0,17.8544,14.832083333333335
2021-07-03 03:00:00,16.87,16.97,16.74,99.58,99.93,99.11,0.0,60,0.0,14.0,0,17.8544,14.832083333333335
2021-07-03 04:00:00,16.86,17.11,16.66,99.52,99.99,99.1,0.0,60,0.0,14.0,0,17.8544,14.832083333333335
2021-07-03 05:00:00,17.2,17.58,17.05,98.68,99.23,97.62,0.0,60,0.0,14.0,0,17.8544,14.832083333333335
2021-07-03 06:00:00,18.07,18.49,17.59,97.35,97.94,96.82,0.0,60,0.0,14.0,0,17.8544,14.832083333333335
2021-07-03 07:00:00,18.77,19.35,18.54,95.71,96.82,94.7,0.0,60,1.0,12.0,1,17.8544,14.832083333333335
2021-07-03 08:00:00,20.71,21.72,19.65,88.5,93.82,80.1,0.0,40,1.0,12.0,1,17.8544,14.832083333333335
2021-07-03 09:00:00,21.72,22.84,21.14,79.37,85.45,70.7,0.0,0,1.0,12.0,0,17.8544,14.832083333333335
2021-07-03 10:00:00,23.93,25.35,22.09,72.06,79.27,65.43,0.0,0,1.0,12.0,0,17.8544,14.832083333333335
2021-07-03 11:00:00,26.94,27.86,25.81,59.6,68.22,50.38,0.0,0,1.0,12.0,0,17.8544,14.832083333333335
2021-07-03 12:00:00,27.0,27.63,26.62,60.59,64.6,56.65,0.0,0,1.0,12.0,0,17.8544,14.832083333333335
2021-07-03 13:00:00,27.91,28.39,26.76,58.38,63.21,55.06,0.0,0,1.0,12.0,0,17.8544,14.832083333333335
2021-07-03 14:00:00,25.63,26.28,25.23,68.34,73.22,64.24,0.0,0,1.0,12.0,0,17.8544,14.832083333333335
2021-07-03 15:00:00,24.7,25.41,23.86,82.99,89.9,75.72,0.0,0,1.0,12.0,0,17.8544,14.832083333333335
2021-07-03 16:00:00,23.45,25.19,22.79,84.82,93.21,75.52,0.0,15,0.0,12.0,0,17.8544,14.832083333333335
2021-07-03 17:00:00,22.42,23.18,21.86,89.78,93.58,86.51,0.0,20,0.0,12.0,0,17.8544,14.832083333333335
2021-07-03 18:00:00,21.88,22.28,21.16,92.03,93.81,89.13,0.0,60,0.0,12.0,0,17.8544,14.832083333333335
2021-07-03 19:00:00,21.38,21.84,20.92,90.94,93.41,87.36,0.0,50,0.0,12.0,0,17.8544,14.832083333333335
2021-07-03 20:00:00,20.57,20.76,20.44,95.53,96.82,92.52,0.0,60,0.0,12.0,0,17.8544,14.832083333333335
2021-07-03 21:00:00,19.84,20.41,19.15,97.11,97.76,96.22,0.0,60,0.0,12.0,0,17.8544,14.832083333333335
2021-07-03 22:00:00,18.62,19.03,18.33,98.33,99.69,97.13,0.0,60,0.0,12.0,0,17.8544,14.832083333333335
2021-07-03 23:00:00,17.99,18.27,17.62,99.98,100.0,99.79,0.0,60,0.0,12.0,0,17.8544,14.832083333333335
2021-07-04 00:00:00,17.22,17.6,16.98,99.99,100.0,99.99,0.0,60,0.0,12.0,1,10.2671,14.962500000000002
2021-07-04 01:00:00,16.64,16.95,16.48,99.99,99.99,99.99,0.0,60,1.0,12.0,1,10.2671,14.962500000000002
2021-07-04 02:00:00,16.9,17.33,16.44,99.99,99.99,99.99,0.0,60,1.0,12.0,1,10.2671,14.962500000000002
2021-07-04 03:00:00,17.29,17.41,17.19,99.99,99.99,99.99,0.0,60,1.0,12.0,2,10.2671,14.962500000000002
2021-07-04 04:00:00,17.45,17.51,17.41,99.99,99.99,99.99,0.0,60,2.0,10.0,2,10.2671,14.962500000000002
2021-07-04 05:00:00,17.44,17.68,17.29,99.99,99.99,99.99,0.0,60,2.0,10.0,2,10.2671,14.962500000000002
2021-07-04 06:00:00,17.97,18.63,17.63,99.99,99.99,99.99,0.0,60,2.0,10.0,3,10.2671,14.962500000000002
2021-07-04 07:00:00,19.5,19.91,18.7,98.57,100.0,93.97,0.0,60,3.0,7.0,3,10.2671,14.962500000000002
2021-07-04 08:00:00,20.24,20.41,19.96,91.53,94.54,87.98,0.0,60,3.0,7.0,3,10.2671,14.962500000000002
2021-07-04 09:00:00,21.13,21.61,20.4,89.81,91.23,87.58,0.0,60,3.0,7.0,4,10.2671,14.962500000000002
2021-07-04 10:00:00,21.42,22.03,21.22,91.63,93.07,89.91,0.0,60,4.0,7.0,4,10.2671,14.962500000000002
2021-07-04 11:00:00,23.51,24.19,22.33,84.96,88.41,81.03,0.0,60,4.0,7.0,4,10.2671,14.962500000000002
2021-07-04 12:00:00,23.34,24.13,22.43,84.93,91.01,79.64,0.0,55,4.0,7.0,5,10.2671,14.962500000000002
2021-07-04 13:00:00,24.86,25.49,23.97,77.56,82.05,74.08,0.0,0,4.0,7.0,0,10.2671,14.962500000000002
2021-07-04 14:00:00,23.7,24.35,23.26,82.28,86.29,77.24,0.0,35,0.0,7.0,0,10.2671,14.962500000000002
2021-07-04 15:00:00,24.09,24.71,23.26,81.08,86.95,74.26,0.0,30,0.0,7.0,0,10.2671,14.962500000000002
2021-07-04 16:00:00,23.24,24.79,21.48,81.03,88.13,72.23,0.0,30,0.0,7.0,0,10.2671,14.962500000000002
2021-07-04 17:00:00,21.67,21.8,21.54,87.47,89.66,83.73,0.0,60,0.0,7.0,0,10.2671,14.962500000000002
2021-07-04 18:00:00,24.64,25.42,22.37,71.14,89.09,61.73,0.0,5,0.0,7.0,0,10.2671,14.962500000000002
2021-07-04 19:00:00,23.03,24.77,21.74,74.78,80.86,66.27,0.0,0,0.0,7.0,0,10.2671,14.962500000000002
2021-07-04 20:00:00,22.35,22.6,21.59,76.15,78.81,72.79,0.0,0,0.0,7.0,0,10.2671,14.962500000000002
2021-07-04 21:00:00,20.12,21.27,18.93,82.39,89.79,78.59,0.0,10,0.0,7.0,0,10.2671,14.962500000000002
2021-07-04 22:00:00,17.85,18.77,17.16,94.63,97.48,90.77,0.0,60,0.0,7.0,0,10.2671,14.962500000000002
2021-07-04 23:00:00,16.94,17.13,16.77,99.2,100.0,98.21,0.0,60,0.0,7.0,0,10.2671,14.962500000000002
2021-07-05 00:00:00,17.11,17.28,16.89,100.0,100.0,100.0,0.0,60,0.0,7.0,0,11.1616,14.640416666666665
